case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
left-swapped,1,candidate,10,33.308754,31.98994,35.000977,1.0530227128880294,120,50855936.0,50855936,50860032.0,50860032,,,34220080.0,34220080,,,27862887.5,149544.5,4769788.5,164758.0,1000000.0,10000.0,34078720.0,10000.0,100044.0,0.0,100044.0,120.0,34.859703,28.686417666840132
left,0,baseline,10,595.1605895,594.503697,597.056688,1.0,180,413704.0,415752,430356.0,827156,,,413704.0,413704,,,,,,,,,,,,,,,595.355048,1.679669977367858
left,0,candidate,10,97.275004,95.955283,99.8601,6.118330146766172,180,1012080.0,1049728,1044848.0,1476224,,,938160.0,938160,,,1036737.5,76869.0,95368260.5,218382.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,97.482081,10.2582955733167
left,1,baseline,10,595.268977,593.99683,602.851055,1.0,180,413704.0,415752,430356.0,432404,,,413704.0,413704,,,,,,,,,,,,,,,595.541055,1.679145361355482
left,1,candidate,10,96.36837,95.677193,99.179508,6.177016141292003,180,1012080.0,1012080,1044848.0,1102000,,,938160.0,938160,,,825953.5,75521.0,95000284.0,193747.0,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,10000000.0,180.0,96.599262,10.352045960765208
match-001pct,0,baseline,10,74.2396975,74.061359,75.576701,1.0,120,273932.0,273932,290584.0,290584,,,273932.0,273932,,,,,,,,,,,,,,,74.3834005,13.443859695551295
match-001pct,0,candidate,10,12.322918,11.687811,12.992239,6.024522560322158,120,179824.0,183920,212592.0,216688,,,142768.0,142768,,,394727.5,61204.0,11293920.5,162684.0,10.0,10.0,1408.0,10000000.0,992.0,0.0,992.0,120.0,12.5031295,79.97997621315527
match-001pct,1,baseline,10,74.623089,73.988583,74.956412,1.0,120,273932.0,273932,290584.0,290584,,,273932.0,273932,,,,,,,,,,,,,,,74.767809,13.374739923166667
match-001pct,1,candidate,10,12.1488425,11.447562,12.516159,6.142403196024642,120,179824.0,183920,212592.0,306608,,,142768.0,142768,,,309975.0,54967.5,11319643.5,125700.0,10.0,10.0,1408.0,10000000.0,992.0,0.0,992.0,120.0,12.328133,81.11528323064003
match-100pct,0,baseline,10,776.184531,766.640345,783.203437,1.0,120,6951960.0,6951960,7029056.0,7029056,,,5384204.0,5384204,,,,,,,,,,,,,,,776.44118,1.2879275671596913
match-100pct,0,candidate,10,116.2684665,114.377017,124.846351,6.67579571972767,120,8571248.0,8571248,8677192.0,8677192,,,8530096.0,8530096,,,5724112.0,79107.5,110267652.5,216228.5,100000.0,100000.0,8388736.0,10000000.0,10000000.0,0.0,10000000.0,120.0,116.5397335,8.580764430871124
match-100pct,1,baseline,10,772.62578,767.910169,782.323763,1.0,120,6951960.0,6951960,7029056.0,7029056,,,5384204.0,5384204,,,,,,,,,,,,,,,772.876929,1.2938670601720084
match-100pct,1,candidate,10,115.837321,115.007334,121.801241,6.6699210006764575,120,8571248.0,8571248,8677192.0,8693936,,,8530096.0,8530096,,,5262689.5,76363.0,109523041.5,167748.5,100000.0,100000.0,8388736.0,10000000.0,10000000.0,0.0,10000000.0,120.0,116.0961895,8.613547131105452
match-1pct,0,baseline,10,167.6256285,165.985448,169.665726,1.0,120,296972.0,296972,313624.0,313624,,,296972.0,296972,,,,,,,,,,,,,,,167.870351,5.956978072917712
match-1pct,0,candidate,10,31.9192725,31.105246,32.955975,5.251549154198298,120,248176.0,248176,280944.0,493184,,,207024.0,207024,,,735579.5,65968.5,30540316.0,190942.5,1000.0,1000.0,65664.0,10000000.0,99284.0,0.0,99284.0,120.0,32.161636,31.092945644929255
match-1pct,1,baseline,10,167.1309735,166.412587,171.437977,1.0,120,296972.0,296972,313624.0,313624,,,296972.0,296972,,,,,,,,,,,,,,,167.38077,5.974401957883215
match-1pct,1,candidate,10,31.6867485,30.959294,32.970792,5.274475337852983,120,248176.0,248176,280944.0,444032,,,207024.0,207024,,,577579.0,68552.5,30433912.0,153712.0,1000.0,1000.0,65664.0,10000000.0,99284.0,0.0,99284.0,120.0,31.898334,31.34959963739799
match-50pct,0,baseline,10,486.3351825,484.875039,489.32758,1.0,120,2762764.0,2762764,2779416.0,3186456,,,2762764.0,2762764,,,,,,,,,,,,,,,486.5889015,2.0551229115939873
