case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
concurrent-4,1,baseline,40,236.547049,235.309261,243.907509,1.0,120,469004.0,469004,1955944.0,2504368,,,469004.0,469004,,,,,,,,,,,,,,,239.3028845,16.715218491233856
concurrent-4,1,candidate,40,90.5376775,35.392965,140.17614,2.612691815515148,120,969072.0,1049728,3993396.0,4501336,,,927920.0,927920,,,934641.5,37044.5,89464091.0,36132.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,113.8264865,35.141205909048246
concurrent-scalar-left,0,baseline,40,341.318654,338.567538,346.702051,1.0,1,262152.0,262152,1115168.0,2082488,,,262152.0,262152,,,,,,,,,,,,,,,343.1154625,11.657883240980432
concurrent-scalar-left,0,candidate,40,212.276191,72.423159,341.457749,1.6078988999760222,1,787392.0,917504,3507556.0,4558336,,,787392.0,787392,,,921552.0,61374.5,210347396.5,16471.0,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,277.4162445,14.418766309843834
concurrent-scalar-left,1,baseline,40,340.3679035,337.701921,347.034433,1.0,1,262152.0,262152,1115168.0,1353160,,,262152.0,262152,,,,,,,,,,,,,,,342.96921,11.662854516882142
concurrent-scalar-left,1,candidate,40,210.252335,65.202044,297.123865,1.6188543328187057,1,787392.0,787392,3280640.0,3697128,,,787392.0,787392,,,679930.5,39459.0,209499001.5,10619.5,10000.0,10000.0,786432.0,10000000.0,999862.0,9000138.0,10000000.0,1.0,258.2812345,15.486994274839583
fanout-10,0,baseline,10,635.242102,632.805202,637.670113,1.0,120,2435084.0,2435084,2476704.0,3542808,,,2435084.0,2435084,,,,,,,,,,,,,,,635.494664,1.5735773353401439
fanout-10,0,candidate,10,109.8944615,109.174913,113.03768,5.7804742234439175,120,4901232.0,4901232,5812744.0,5830272,,,4860080.0,4860080,,,3725682.5,96154.5,105260396.5,197519.0,100000.0,10000.0,4718720.0,10000000.0,9998620.0,0.0,9998620.0,120.0,110.139039,9.079432770427568
fanout-10,1,baseline,10,634.3094925,631.703587,640.546755,1.0,120,2435084.0,2435084,2477796.0,3525280,,,2435084.0,2435084,,,,,,,,,,,,,,,634.5532125,1.575911964987491
fanout-10,1,candidate,10,108.9435355,108.487628,112.084301,5.822369263020659,120,4901232.0,4901232,4934000.0,5812744,,,4860080.0,4860080,,,3140553.5,90719.5,105054107.5,158005.0,100000.0,10000.0,4718720.0,10000000.0,9998620.0,0.0,9998620.0,120.0,109.187632,9.158546455151624
