storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
native,scalar,fanout,65536,output2,263872,5709,16400,1056896
native,scalar,fanout,65536,closed2,259744,5612,16400,0
native,scalar,fanout,262144,live1,263872,5709,16400,4202624
native,scalar,fanout,262144,output1,263872,5709,16400,4202624
native,scalar,fanout,262144,closed1,259744,5612,16400,0
native,scalar,fanout,262144,live2,263872,5709,16400,4202624
native,scalar,fanout,262144,output2,263872,5709,16400,4202624
native,scalar,fanout,262144,closed2,259744,5612,16400,0
mixed,owner,rows,1024,live1,531016,12958,16400,22116
mixed,owner,rows,1024,output1,531016,12958,16400,22116
mixed,owner,rows,1024,closed1,526832,12870,16400,0
mixed,owner,rows,1024,live2,531144,12958,16400,22116
mixed,owner,rows,1024,output2,531144,12958,16400,22116
mixed,owner,rows,1024,closed2,526960,12870,16400,0
mixed,owner,rows,8192,live1,531952,12958,16400,55396
mixed,owner,rows,8192,output1,531952,12958,16400,55396
mixed,owner,rows,8192,closed1,527768,12870,16400,0
mixed,owner,rows,8192,live2,531952,12958,16400,55396
mixed,owner,rows,8192,output2,531952,12958,16400,55396
mixed,owner,rows,8192,closed2,527768,12870,16400,0
mixed,owner,rows,65536,live1,532184,12958,16400,349284
mixed,owner,rows,65536,output1,532184,12958,16400,349284
mixed,owner,rows,65536,closed1,528000,12870,16400,0
mixed,owner,rows,65536,live2,532184,12958,16400,349284
mixed,owner,rows,65536,output2,532184,12958,16400,349284
mixed,owner,rows,65536,closed2,528000,12870,16400,0
mixed,owner,rows,262144,live1,532232,12958,16400,1356900
mixed,owner,rows,262144,output1,532232,12958,16400,1356900
mixed,owner,rows,262144,closed1,528048,12870,16400,0
mixed,owner,rows,262144,live2,532232,12958,16400,1356900
mixed,owner,rows,262144,output2,532232,12958,16400,1356900
mixed,owner,rows,262144,closed2,528048,12870,16400,0
mixed,owner,keys,1024,live1,529384,12910,16400,80532
mixed,owner,keys,1024,output1,529384,12910,16400,80532
mixed,owner,keys,1024,closed1,527216,12854,16400,0
mixed,owner,keys,1024,live2,529384,12910,16400,80532
mixed,owner,keys,1024,output2,529384,12910,16400,80532
mixed,owner,keys,1024,closed2,527216,12854,16400,0
mixed,owner,keys,8192,live1,532288,12958,16400,575588
mixed,owner,keys,8192,output1,532288,12958,16400,575588
mixed,owner,keys,8192,closed1,528104,12870,16400,0
mixed,owner,keys,8192,live2,530776,12934,16400,573320
mixed,owner,keys,8192,output2,530776,12934,16400,573320
mixed,owner,keys,8192,closed2,528104,12870,16400,0
mixed,owner,keys,65536,live1,532320,12958,16400,4539492
mixed,owner,keys,65536,output1,532320,12958,16400,4539492
mixed,owner,keys,65536,closed1,528136,12870,16400,0
mixed,owner,keys,65536,live2,532320,12958,16400,4539492
mixed,owner,keys,65536,output2,532320,12958,16400,4539492
mixed,owner,keys,65536,closed2,528136,12870,16400,0
mixed,owner,keys,262144,live1,532320,12958,16400,18130020
mixed,owner,keys,262144,output1,532320,12958,16400,18130020
mixed,owner,keys,262144,closed1,528136,12870,16400,0
mixed,owner,keys,262144,live2,532320,12958,16400,18130020
mixed,owner,keys,262144,output2,532320,12958,16400,18130020
mixed,owner,keys,262144,closed2,528136,12870,16400,0
mixed,owner,symbols_groups,1024,live1,530880,12934,16400,190594
mixed,owner,symbols_groups,1024,output1,530880,12934,16400,190594
mixed,owner,symbols_groups,1024,closed1,527704,12862,16400,0
mixed,owner,symbols_groups,1024,live2,530592,12930,16400,188660
mixed,owner,symbols_groups,1024,output2,530592,12930,16400,188660
mixed,owner,symbols_groups,1024,closed2,527920,12866,16400,0
mixed,owner,symbols_groups,8192,live1,532320,12958,16400,1593830
mixed,owner,symbols_groups,8192,output1,532320,12958,16400,1593830
mixed,owner,symbols_groups,8192,closed1,528136,12870,16400,0
mixed,owner,symbols_groups,8192,live2,531312,12942,16400,1563018
mixed,owner,symbols_groups,8192,output2,531312,12942,16400,1563018
mixed,owner,symbols_groups,8192,closed2,528136,12870,16400,0
mixed,owner,symbols_groups,65536,live1,532320,12958,16400,12891878
mixed,owner,symbols_groups,65536,output1,532320,12958,16400,12891878
mixed,owner,symbols_groups,65536,closed1,528136,12870,16400,0
mixed,owner,symbols_groups,65536,live2,532320,12958,16400,12776966
mixed,owner,symbols_groups,65536,output2,532320,12958,16400,12776966
mixed,owner,symbols_groups,65536,closed2,528136,12870,16400,0
mixed,owner,symbols_groups,262144,live1,532320,12958,16400,51449574
mixed,owner,symbols_groups,262144,output1,532320,12958,16400,51449574
mixed,owner,symbols_groups,262144,closed1,528136,12870,16400,0
mixed,owner,symbols_groups,262144,live2,532320,12958,16400,51277030
mixed,owner,symbols_groups,262144,output2,532320,12958,16400,51277030
mixed,owner,symbols_groups,262144,closed2,528136,12870,16400,0
mixed,owner,fanout,1024,live1,529280,12900,16400,46140
mixed,owner,fanout,1024,output1,529280,12900,16400,46140
mixed,owner,fanout,1024,closed1,527824,12861,16400,0
mixed,owner,fanout,1024,live2,529280,12900,16400,46140
mixed,owner,fanout,1024,output2,529280,12900,16400,46140
mixed,owner,fanout,1024,closed2,527824,12861,16400,0
mixed,owner,fanout,8192,live1,529280,12900,16400,275516
mixed,owner,fanout,8192,output1,529280,12900,16400,275516
mixed,owner,fanout,8192,closed1,527824,12861,16400,0
mixed,owner,fanout,8192,live2,529280,12900,16400,275516
mixed,owner,fanout,8192,output2,529280,12900,16400,275516
mixed,owner,fanout,8192,closed2,527824,12861,16400,0
mixed,owner,fanout,65536,live1,529280,12900,16400,2110524
mixed,owner,fanout,65536,output1,529280,12900,16400,2110524
mixed,owner,fanout,65536,closed1,527824,12861,16400,0
mixed,owner,fanout,65536,live2,529280,12900,16400,2110524
mixed,owner,fanout,65536,output2,529280,12900,16400,2110524
mixed,owner,fanout,65536,closed2,527824,12861,16400,0
mixed,owner,fanout,262144,live1,529280,12900,16400,8401980
mixed,owner,fanout,262144,output1,529280,12900,16400,8401980
mixed,owner,fanout,262144,closed1,527824,12861,16400,0
mixed,owner,fanout,262144,live2,529280,12900,16400,8401980
mixed,owner,fanout,262144,output2,529280,12900,16400,8401980
mixed,owner,fanout,262144,closed2,527824,12861,16400,0
mixed,sharded,rows,1024,live1,1736200,31390,16400,1327684
mixed,sharded,rows,1024,output1,1736200,31390,16400,1327684
mixed,sharded,rows,1024,closed1,1732016,31302,16400,0
mixed,sharded,rows,1024,live2,1736328,31390,16400,1327684
mixed,sharded,rows,1024,output2,1736328,31390,16400,1327684
mixed,sharded,rows,1024,closed2,1732144,31302,16400,0
mixed,sharded,rows,8192,live1,1737136,31390,16400,1360964
mixed,sharded,rows,8192,output1,1737136,31390,16400,1360964
mixed,sharded,rows,8192,closed1,1732952,31302,16400,0
mixed,sharded,rows,8192,live2,1737136,31390,16400,1360964
mixed,sharded,rows,8192,output2,1737136,31390,16400,1360964
mixed,sharded,rows,8192,closed2,1732952,31302,16400,0
mixed,sharded,rows,65536,live1,1737368,31390,16400,1654852
mixed,sharded,rows,65536,output1,1737368,31390,16400,1654852
mixed,sharded,rows,65536,closed1,1733184,31302,16400,0
mixed,sharded,rows,65536,live2,1737368,31390,16400,1654852
mixed,sharded,rows,65536,output2,1737368,31390,16400,1654852
mixed,sharded,rows,65536,closed2,1733184,31302,16400,0
mixed,sharded,rows,262144,live1,1737416,31390,16400,2662468
mixed,sharded,rows,262144,output1,1737416,31390,16400,2662468
mixed,sharded,rows,262144,closed1,1733232,31302,16400,0
mixed,sharded,rows,262144,live2,1737416,31390,16400,2662468
mixed,sharded,rows,262144,output2,1737416,31390,16400,2662468
mixed,sharded,rows,262144,closed2,1733232,31302,16400,0
mixed,sharded,keys,1024,live1,1734568,31342,16400,1386100
mixed,sharded,keys,1024,output1,1734568,31342,16400,1386100
mixed,sharded,keys,1024,closed1,1732400,31286,16400,0
mixed,sharded,keys,1024,live2,1734568,31342,16400,1386100
mixed,sharded,keys,1024,output2,1734568,31342,16400,1386100
mixed,sharded,keys,1024,closed2,1732400,31286,16400,0
mixed,sharded,keys,8192,live1,1737472,31390,16400,1881156
mixed,sharded,keys,8192,output1,1737472,31390,16400,1881156
mixed,sharded,keys,8192,closed1,1733288,31302,16400,0
mixed,sharded,keys,8192,live2,1736968,31382,16400,1880400
mixed,sharded,keys,8192,output2,1736968,31382,16400,1880400
mixed,sharded,keys,8192,closed2,1733288,31302,16400,0
mixed,sharded,keys,65536,live1,1737504,31390,16400,5845060
mixed,sharded,keys,65536,output1,1737504,31390,16400,5845060
mixed,sharded,keys,65536,closed1,1733320,31302,16400,0
mixed,sharded,keys,65536,live2,1737504,31390,16400,5845060
mixed,sharded,keys,65536,output2,1737504,31390,16400,5845060
mixed,sharded,keys,65536,closed2,1733320,31302,16400,0
mixed,sharded,keys,262144,live1,1737504,31390,16400,19435588
mixed,sharded,keys,262144,output1,1737504,31390,16400,19435588
mixed,sharded,keys,262144,closed1,1733320,31302,16400,0
mixed,sharded,keys,262144,live2,1737504,31390,16400,19435588
mixed,sharded,keys,262144,output2,1737504,31390,16400,19435588
mixed,sharded,keys,262144,closed2,1733320,31302,16400,0
mixed,sharded,symbols_groups,1024,live1,1736784,31378,16400,1421552
mixed,sharded,symbols_groups,1024,output1,1736784,31378,16400,1421552
mixed,sharded,symbols_groups,1024,closed1,1733104,31298,16400,0
mixed,sharded,symbols_groups,1024,live2,1735272,31354,16400,1413702
mixed,sharded,symbols_groups,1024,output2,1735272,31354,16400,1413702
mixed,sharded,symbols_groups,1024,closed2,1733104,31298,16400,0
mixed,sharded,symbols_groups,8192,live1,1737504,31390,16400,2258374
mixed,sharded,symbols_groups,8192,output1,1737504,31390,16400,2258374
mixed,sharded,symbols_groups,8192,closed1,1733320,31302,16400,0
mixed,sharded,symbols_groups,8192,live2,1736496,31374,16400,2196362
mixed,sharded,symbols_groups,8192,output2,1736496,31374,16400,2196362
mixed,sharded,symbols_groups,8192,closed2,1733320,31302,16400,0
mixed,sharded,symbols_groups,65536,live1,1737504,31390,16400,12851398
mixed,sharded,symbols_groups,65536,output1,1737504,31390,16400,12851398
mixed,sharded,symbols_groups,65536,closed1,1733320,31302,16400,0
mixed,sharded,symbols_groups,65536,live2,1737504,31390,16400,12854470
mixed,sharded,symbols_groups,65536,output2,1737504,31390,16400,12854470
mixed,sharded,symbols_groups,65536,closed2,1733320,31302,16400,0
mixed,sharded,symbols_groups,262144,live1,1737504,31390,16400,51694406
mixed,sharded,symbols_groups,262144,output1,1737504,31390,16400,51694406
mixed,sharded,symbols_groups,262144,closed1,1733320,31302,16400,0
mixed,sharded,symbols_groups,262144,live2,1737504,31390,16400,51268806
mixed,sharded,symbols_groups,262144,output2,1737504,31390,16400,51268806
mixed,sharded,symbols_groups,262144,closed2,1733320,31302,16400,0
mixed,sharded,fanout,1024,live1,1734464,31332,16400,1351708
mixed,sharded,fanout,1024,output1,1734464,31332,16400,1351708
mixed,sharded,fanout,1024,closed1,1733008,31293,16400,0
mixed,sharded,fanout,1024,live2,1734464,31332,16400,1351708
mixed,sharded,fanout,1024,output2,1734464,31332,16400,1351708
mixed,sharded,fanout,1024,closed2,1733008,31293,16400,0
mixed,sharded,fanout,8192,live1,1734464,31332,16400,1581084
mixed,sharded,fanout,8192,output1,1734464,31332,16400,1581084
mixed,sharded,fanout,8192,closed1,1733008,31293,16400,0
mixed,sharded,fanout,8192,live2,1734464,31332,16400,1581084
mixed,sharded,fanout,8192,output2,1734464,31332,16400,1581084
